renewal,Renewal
blower-charge,Blower Charge
bond-charges,Bond Charges
bobtail-charges,Bobtail Charges
bop-sheet-charge,Bop Sheet Charge
basic-reorder-allowance,Basic Reorder Allowance
bridge-toll,Bridge Toll
aqua-train,Aqua Train
bunker-surcharge,Bunker Surcharge
broker-selection-surcharge,Broker Selection Surcharge
bi-level-tri-level-charges,"Bi-level, Tri-level Charges"
bunker-adjustment-20-foot-container,Bunker Adjustment - 20 Foot Container
bunker-adjustment-40-foot-container,Bunker Adjustment - 40 Foot Container
bunker-adjustment,Bunker Adjustment
bureau-report-charge,Bureau Report Charge
beyond-charge,Beyond Charge
currency-adjustment-break-bulk,Currency Adjustment - Break Bulk
currency-adjustment-20-foot-container,Currency Adjustment - 20 Foot Container
currency-adjustment-40-foot-container,Currency Adjustment - 40 Foot Container
cancellation-charge,Cancellation Charge
cash-discount,Cash Discount
certification-fee,Certification Fee
co-manufacturing-discount,Co-manufacturing Discount
competitive-allowance,Competitive Allowance
competitive-car-allowance,Competitive Car Allowance
compressor-charge,Compressor Charge
crafting,Crafting
customer-equipment-allowance,Customer Equipment Allowance
cutting-charge,Cutting Charge
co-op-credit,Co-op Credit
car-loading,Car Loading
contract-escalation,Contract Escalation
car-rental,Car Rental
container-deposits,Container Deposits
contract-allowance,Contract Allowance
cooperative-advertising-merchandising-allowance-performance,Cooperative Advertising/Merchandising Allowance (Performance)
claims-commercial-auto-report-charge,Claims Commercial Auto Report Charge
copy-of-bill-of-lading-charge,Copy of Bill of Lading Charge
cents-off,Cents Off
competitive-price,Competitive Price
carrier,Carrier
container-allowance,Container Allowance
city-sales-tax-only,City Sales Tax (Only)
carrier-credit-allowance,Carrier Credit Allowance
certification-charge,Certification Charge
claims-commercial-property-report-charge,Claims Commercial Property Report Charge
concession-credit,Concession Credit
carrier-caboose-charge,Carrier Caboose Charge
carrier-debit-allowance,Carrier Debit Allowance
corrosion-additive-service-charge,Corrosion Additive Service Charge
cancelled-order-heavy-duty-flatcar,"Cancelled Order, Heavy Duty Flatcar"
copy-of-delivery-receipt-charge,Copy of Delivery Receipt Charge
container-service-charge-uk-eur,Container Service Charge UK/EUR
customs-fees-container-level,Customs Fees - Container Level
customs-fees-lift-level,Customs Fees - Lift Level
carrier-guard-car-charge,Carrier Guard Car Charge
canada-great-lakes-additionals,Canada Great Lakes Additionals
return-carrier-guard-car-charge,Return Carrier Guard Car Charge
cargo-taxes,Cargo Taxes
chassis-equipment-lease-charge,Chassis Equipment Lease Charge
charges-forward-advance-charge,Charges Forward/Advance Charge
chain-and-binders,Chain and Binders
special-circus-trains,Special Circus Trains
constant-surveillance,Constant Surveillance
chicago-loop-charge,Chicago Loop Charge
container-loss-damage,Container Loss/Damage
cleaning-charge,Cleaning Charge
container-leasing,Container Leasing
concession-money,Concession Money
city-maintenance-fee,City maintenance fee
continuous-mileage,Continuous Mileage
camp-arbitrary,Camp Arbitrary
consolidation,Consolidation
converting,Converting
commission-amount,Commission Amount
connect-charge,Connect Charge
cod-amount,COD Amount
ocean-freight,Ocean Freight
fee-for-collecting-cod-charge,Fee for Collecting COD Charge
combination,Combination
congestion-surcharge,Congestion Surcharge
port-changes,Port Changes
core-charge,Core Charge
consignee-unload,Consignee Unload
claims-personal-auto-report-charge,Claims Personal Auto Report Charge
copilot-service-charge,Copilot Service Charge
computer-processing-expense,Computer Processing Expense
claims-personal-property-report-charge,Claims Personal Property Report Charge
cost-recovery-adjustment,Cost recovery/adjustment
cost-recovery-factor,Cost Recovery Factor
court-reporter-charge,Court Reporter Charge
credit-report-charge,Credit Report Charge
courier-services,Courier Services
closing-and-sealing,Closing & Sealing
contract-service-charge,Contract Service Charge
customs-entry,Customs Entry
customs-formalities,Customs Formalities
government-caboose-charge,Government Caboose Charge
conservation-research-fee,Conservation research fee
cassette,Cassette
container-trailer-allowance,Container/Trailer Allowance
container-service-charge-usa-canada,Container Service Charge USA/Canada
customer-required-special-truck-at-destination,Customer Required Special Truck at Destination
court-or-trial-expense,Court or Trial Expense
chassis-transfer,Chassis Transfer
cartage-charge,Cartage Charge
controlled-atmosphere,Controlled Atmosphere
customer-required-special-truck-at-origin,Customer Required Special Truck at Origin
circuitous-routing-charge,Circuitous Routing Charge
customs-exams-intensive-tailgate,"Customs Exams (Intensive, Tailgate)"
currency-adjustment,Currency Adjustment
currency-discount,Currency Discount
currency-adjustment-factor,Currency Adjustment Factor
customer-paid-deductible,Customer Paid Deductible
customs-charge,Customs Charge
deficit-freight,Deficit Freight
deposit,Deposit
distributor-discount-allowance,Distributor Discount/Allowance
drum-up-charge,Drum Up Charge
damaged-merchandise,Damaged Merchandise
dockage-boat-detention,Dockage - Boat Detention
double-wide-separate-and-reassemble,Double Wide Separate and Reassemble
delivery-of-fuel-from-barge-to-pipeline-charge,Delivery of Fuel from Barge to Pipeline Charge
damage-to-carrier-equipment,Damage to Carrier Equipment
disconnect-charge,Disconnect charge
city-delivery,City Delivery
damage-to-carrier-vessel,Damage to Carrier Vessel
defective-allowance,Defective Allowance
drum-cost,Drum Cost
drum-deposit,Drum Deposit
dowel-pin-charge,Dowel Pin Charge
dual-driver-with-national-agency-check,Dual Driver with National Agency Check
dual-driver-protectice-service,Dual Driver Protectice Service
deaf-and-disabled-surcharge,Deaf and Disabled Surcharge
drayage-at-port-of-debarkation-zone-rate,Drayage at Port of Debarkation (Zone Rate)
demurrage-average-agreement,Demurrage - Average Agreement
deductible,Deductible
delivery-charge,Delivery Charge
demurrage,Demurrage
detention-of-power-units,Detention of Power Units
derrick-charge,Derrick Charge
demurrage-special,Demurrage - Special
detention-of-trailers,Detention of Trailers
texas-rail-commission-deviation-charge,Texas Rail Commission Deviation Charge
detention-without-power-unit,Detention Without Power Unit
drayage-at-port-of-embarkation-zone-rate,Drayage at Port of Embarkation (Zone Rate)
keep-from-freezing-percent-differential,Keep from Freezing Percent Differential
410-dromedary-with-mechanical-restraining-devices-charge,410 Dromedary with Mechanical Restraining Devices Charge
410-dromedary,410 Dromedary
delay-furnishing-destination-weights,Delay Furnishing Destination Weights
damage-to-government-equipment,Damage to Government Equipment
dangerous-goods-surcharge,Dangerous Goods Surcharge
diversion-charge,Diversion Charge
direct-repair,Direct Repair
distribution-service,Distribution Service
diversion-and-reconsignment,Diversion and Reconsignment
drayage-line-haul,Drayage/Line Haul
delivery-of-fuel-from-rail-tank-car-to-pipeline-charge,Delivery of Fuel from Rail Tank Car to Pipeline Charge
deadhead-mileage-charge,Deadhead Mileage Charge
demand-charge,Demand charge
dunnage-allowance,Dunnage Allowance
documentation-charge,Documentation Charge
deposit-in-lieu-of-order,Deposit in Lieu of Order
container-diversion,Container Diversion
delivery-of-fuel-from-pipeline-to-barge-charge,Delivery of Fuel from Pipeline to Barge Charge
drayage-at-port-of-debarkation,Drayage at Port of Debarkation
drayage-at-port-of-embarkation,Drayage at Port of Embarkation
delivery-of-fuel-from-pipeline-to-rail-tank-car-charge,Delivery of Fuel from Pipeline to Rail Tank Car Charge
depreciation,Depreciation
delivery-of-fuel-from-pipeline-to-tank-truck-or-trailer-charge,Delivery of Fuel from Pipeline to Tank Truck or Trailer Charge
detention-with-power-units-30-minute-periods-charge,Detention with Power Units (30 minute periods) Charge
drayage,Drayage
deramping,Deramping
driver-license-record-report-charge,Driver License Record Report Charge
dryer-charge,Dryer Charge
discount,Discount
detention-special-type-flat-car,Detention - Special Type Flat Car
dromedary-with-mechanical-restraining-devices-charge,Dromedary with Mechanical Restraining Devices Charge
dromedary-service-charge,Dromedary Service Charge
container-destuffing,Container Destuffing
diversion-to-air-charge,Diversion to Air Charge
detention-labor,Detention (Labor)
destination-charge,Destination Charge
destination-duty,Destination Duty
destination-inland-freight,Destination Inland Freight
detention-loading,Detention Loading
delivery-of-fuel-from-tank-truck-or-trailer-to-pipeline-charge,Delivery of Fuel from Tank Truck or Trailer to Pipeline Charge
detention-unloading,Detention Unloading
detention-vehicle,Detention (Vehicle)
drivers-wages,Driver's Wages
detention-with-power-units-60-minute-periods-charge,Detention with Power Units (60 minute periods) Charge
exchange-access-credit,Exchange Access Credit
extra-axles,Extra Axles
exhibition-delivery-charge,Exhibition Delivery Charge
exhibition-pickup-charge,Exhibition Pickup Charge
will-call-charge,Will Call Charge
escort-courier-service-charge,Escort/Courier Service Charge
empty-railcar-ordered-but-not-used-charge,Empty Railcar Ordered But Not Used Charge
equipment-hose-at-destination-charge,Equipment Hose at Destination Charge
equipment-hose-at-origin-charge,Equipment Hose at Origin Charge
early-buy-allowance,Early Buy Allowance
early-payment-allowance,Early Payment Allowance
escalation,Escalation
expediting-fee,Expediting Fee
one-time-engineering-charge,One Time Engineering Charge
engineering-charge,Engineering Charge
expediting-premium,Expediting Premium
export-shipping-charge,Export Shipping Charge
export-import-charge,Export/Import Charge
extra-lights,Extra Lights
emergency-response-service,Emergency Response Service
emergency-surcharge,Emergency Surcharge
empty-movement,Empty Movement
energy-charge,Energy charge
energy-surcharge-fuel-adjustment-factor,Energy Surcharge (Fuel Adjustment Factor)
emergency-port-charge,Emergency Port Charge
environmental-protection-service,Environmental Protection Service
empty-return,Empty Return
satisfactory-service-standards-charge,Satisfactory Service Standards Charge
early-ship-allowance,Early Ship Allowance
emergency-service,Emergency Service
estimated-customs-duty-dutypaid-charge,Estimated Customs Duty (Dutypaid - Charge)
external-service-expense,External Service Expense
empty-trailer-returned-charge,Empty Trailer Returned Charge
european-port-charges,European Port Charges
excessive-value-charge,Excessive Value Charge
exclusive-use-charge,Exclusive Use Charge
extra-driver,Extra Driver
extra-length,Extra Length
excess-mileage-charge,Excess Mileage Charge
expedited-service-charge,Expedited Service Charge
excess-periods,Excess Periods
excess-weight,Excess Weight
expando-remove-and-install,Expando Remove and Install
f-e-t-federal-excise-tax,F.E.T. Federal Excise Tax
f-e-t-percent,F.E.T. (Percent)
f-e-t-dollar-value,F.E.T. (Dollar Value)
fabrication-charge,Fabrication Charge
f-e-t-tires,F.E.T. Tires
freight-equalization,Freight Equalization
freight-surcharge,Freight Surcharge
barge-freight-all-kinds-service,Barge Freight All Kinds Service
freight-based-on-dollar-minimum,"Freight, Based on Dollar Minimum"
freight-charges-to-border,Freight Charges to Border
freight-charges-to-destination,Freight Charges to Destination
freight-charges-inbound-and-outbound,Freight Charges Inbound and Outbound
furnishing-chassis,Furnishing Chassis
food-and-lodging,Food and Lodging
financial-document-surcharge,Financial Document Surcharge
fuel-filters-furnished-by-carrier-charge,Fuel Filters Furnished by Carrier Charge
finance-charge,Finance Charge
freshness-leaker-allowance,Freshness/Leaker Allowance
special-finish-charge,Special Finish Charge
freight-passthrough,Freight Passthrough
flat-rate,Flat Rate
fuel-filters-furnished-by-shipper-charge,Fuel Filters Furnished by Shipper Charge
fire-report,Fire Report
flatrack-surcharge,Flatrack Surcharge
ferry-service,Ferry Service
foreign-military-sales-fms-rental,Foreign Military Sales (FMS) Rental
foreign-military-sales-fms-special-charge,Foreign Military Sales (FMS) Special Charge
franchise-fee,Franchise fee
federal-transfer-surcharge,Federal Transfer Surcharge
filtration-service-charge,Filtration Service Charge
fuel-charge,Fuel Charge
forwarding-agent-commission,Forwarding Agent Commission
forwarding-charge,Forwarding Charge
texas-rail-commission-fixed-charge,Texas Rail Commission Fixed Charge
garment-district,Garment District
gate-inspection-charge-intermodal,Gate Inspection Charge (Intermodal)
grain-doors,Grain Doors
glaze-allowance,Glaze Allowance
gold-factor,Gold Factor
gasket,Gasket
garment-surcharge,Garment Surcharge
government-owned-containers,Government-owned Containers
gulf-port-delivery-charge,Gulf Port Delivery Charge
groupage-discount,Groupage Discount
gross-receipts-surcharge,Gross Receipts Surcharge
government-guard-car-charge,Government Guard Car Charge
greater-security-service,Greater Security Service
goods-and-services-tax-charge,Goods and Services Tax Charge
handling-charges-on-distribution-freight-forwarded-beyond,Handling Charges on Distribution Freight Forwarded Beyond
hazardous-cargo-charge,Hazardous Cargo Charge
harbor-dues,Harbor Dues
heavy-duty-flat-car-charge,Heavy Duty Flat Car Charge
holding-charge,Holding Charge
shipment-holdover-charge-for-holidays,Shipment Holdover Charge for Holidays
shipment-holdover-charge-for-weekends,Shipment Holdover Charge for Weekends
heat-in-transit-charges,Heat in Transit Charges
handling-freight-at-positions-not-immediately-adjacent-to-vehicle-charge,Handling Freight At Positions Not Immediately Adjacent To Vehicle Charge
hauling-and-hoisting-to-be-direct-billed,Hauling and Hoisting to be Direct Billed
handling,Handling
household-goods-pick-up-or-delivery,Household Goods Pick-up or Delivery
highway-interchange,Highway Interchange
home-line-freight-charge,Home Line Freight Charge
accessible-hazardous-material,Accessible Hazardous Material
inaccessible-hazardous-material,Inaccessible Hazardous Material
hook-up-charge,Hook-up charge
sunday-or-holiday-pick-up-or-delivery,Sunday or Holiday Pick-up or Delivery
hose-charge,Hose Charge
hose-charge-special,Hose Charge Special
heater-or-refrigeration,Heater or Refrigeration
high-security-red-in-bond-seal-charge,High Security Red In-bond Seal Charge
heavy-lift,Heavy Lift
hazardous-materials-surcharge-charge,Hazardous Materials Surcharge Charge
hazardous-cargo-on-deck,Hazardous Cargo on Deck
hazardous-storage,Hazardous Storage
industry-price-allowance,Industry Price Allowance
income-freight-manufacturing-to-shipping-point,Income Freight (Manufacturing to Shipping Point)
inspection-fee,Inspection Fee
cooling-service,Cooling Service
idler-car-charge,Idler Car Charge
improper-documentation,Improper Documentation
inside-delivery,Inside Delivery
interdivision-profit,Interdivision Profit
inbound-freight-charges,Inbound Freight Charges
interstate-highway-toll,Interstate/Highway Toll
invoice-adjustment,Invoice Adjustment
icing-inhibitor-charge,Icing Inhibitor Charge
item-percentage,Item Percentage
item-unit,Item-Unit
island-delivery-charge,Island Delivery Charge
initial-license-fee,Initial License Fee
island-pick-up-charge,Island Pick-Up Charge
impactographs,Impactographs
intermodal-shipment-service-charge,Intermodal Shipment Service Charge
insurance-surcharge,Insurance Surcharge
interplant-charge,Interplant Charge
interest-on-refund,Interest on refund
insurance,Insurance
interpreter-expense,Interpreter Expense
intra-plant-charge,Intra-plant Charge
inside-pick-up,Inside Pick-up
irish-arbitraries,Irish Arbitraries
interest-on-security-deposit,Interest on security deposit
intermodal-storage-origin,Intermodal Storage (Origin)
intermodal-storage-destination,Intermodal Storage (Destination)
insulated-tank-charge,Insulated Tank Charge
interline-transfer-charge,Interline Transfer Charge
junction-settlement-charge,Junction Settlement Charge
glass-kit,Glass Kit
labor-charges,Labor Charges
extra-labor-helper-service,Extra Labor (Helper Service)
lading-adjustment-charge,Lading Adjustment Charge
labor-repair-and-return-orders,Labor (Repair and Return Orders)
one-time-license-fee,One-Time License Fee
labor-adjustment-allowance,Labor Adjustment Allowance
license-and-title,License and Title
layover-charges,Layover Charges
light-bar-service-charge,Light Bar Service Charge
land-currency-adjustment-factor-20-foot-container,Land Currency Adjustment Factor - 20 Foot Container
land-currency-adjustment-factor-40-foot-container,Land Currency Adjustment Factor - 40 Foot Container
late-order-charge,Late Order Charge
percent-differential-less-than-container,Percent Differential - Less than Container
labor-cost-of-removal,Labor Cost of Removal
loading-allowance,Loading Allowance
loading,Loading
unloading-allowance,Unloading Allowance
locomotive-delayed-in-switching-service,Locomotive Delayed in Switching Service
less-than-container,Less than Container
lift-charge-intermodal,Lift Charge (Intermodal)
linehaul-from-port-of-debarkation,Linehaul from Port of Debarkation
lift-gate-truck-or-forklift-service-at-pick-up-delivery,Lift Gate (Truck) or Forklift Service at Pick-up/Delivery
lodging,Lodging
linehaul-service,Linehaul Service
recurring-license-fee,Recurring License Fee
liability-of-carrier-charge,Liability of Carrier Charge
limited-liability,Limited Liability
lot-charge,Lot Charge
lead-factor,Lead Factor
loan-fee,Loan Fee
local-sales-tax-all-applicable-sales-taxes-by-taxing-authorities-below-the-state-level,Local Sales Tax (All Applicable Sales Taxes by Taxing Authorities Below the State Level)
labor-modify,"Labor, Modify"
liner-terms-at-port-of-debarkation,Liner Terms at Port of Debarkation
liner-terms-at-port-of-embarkation,Liner Terms at Port of Embarkation
labor-no-trouble-found,"Labor, No Trouble Found"
loading-labor-charges,Loading (Labor Charges)
local-delivery-drayage,Local Delivery/Drayage
late-payment-charge,Late payment charge
linehaul-percent-differential,Linehaul Percent Differential
laboratory-pack-fee,Laboratory Pack Fee
liquidated-damages,Liquidated Damages
labor-service,Labor Service
lashing,Lashing
lifeline-surcharge,Lifeline Surcharge
labor-test-and-calibrate,"Labor, Test and Calibrate"
linehaul-to-port-of-embarkation,Linehaul to Port of Embarkation
lubricant-charge,Lubricant Charge
locomotive-under-own-power,Locomotive Under Own Power
leaking-underground-storage-tax-lust,Leaking underground storage tax (LUST)
layover-service-charge,Layover Service Charge
metals-surcharge,Metals Surcharge
mileage-or-travel,Mileage or Travel
mileage-fee-for-repair-and-return,Mileage Fee (For Repair and Return)
minimum-order-minimum-billing-charge,Minimum Order/Minimum Billing Charge
monthly-rental,Monthly Rental
marriage-rule,Marriage Rule
modified-atmosphere,Modified Atmosphere
machining-charge,Machining Charge
molding,Molding
mount-demount,Mount/Demount
meals-or-lodging-charge,Meals or Lodging Charge
escort-service-with-overnight-subsistence,Escort Service with Overnight Subsistence
escort-service,Escort Service
escort-service-telephone,Escort Service (Telephone)
manifest-charge,Manifest Charge
manufacturing,Manufacturing
message-rate-adjustment,Message Rate Adjustment
message-charge,Message Charge
minimum-charge,Minimum Charge
special-mileage-movements,Special Mileage Movements
minimum-guarantee,Minimum Guarantee
markup-charge,Markup Charge
minimum-bill-of-lading-charge,Minimum Bill of Lading Charge
meals,Meals
minimum-maximum-charge,Minimum/Maximum Charge
mill-freight,Mill Freight
market-development-funds,Market Development Funds
metropolitan-transit-tax,Metropolitan Transit Tax
notify-consignee,Notify Consignee
motor-surveillance-service,Motor Surveillance Service
miscellaneous-parts-charge,Miscellaneous Parts Charge
marking-or-tagging-charge,Marking or Tagging Charge
medical-report-charge,Medical Report Charge
other-accessorial-service-charge,Other Accessorial Service Charge
miscellaneous-charge,Miscellaneous Charge
meter-charge,Meter Charge
municipal-surcharge,Municipal Surcharge
motor-vehicle-report-mvr-charge,Motor Vehicle Report (MVR) Charge
special-motor-surveillance-charge,Special Motor Surveillance Charge
venting-instructions,Venting Instructions
non-generated-freight,Non Generated Freight
new-store-allowance,New Store Allowance
nozzle-charge,Nozzle Charge
order-notify-charge,Order Notify Charge
non-document-surcharge,Non-document Surcharge
carrier-notification-charge,Carrier Notification Charge
n-h-d-wharfage,N.H.D. Wharfage
new-store-discount,New Store Discount
